Age,Sex,Color,Posted,Adopted,DaysListed
2,M,Gray,22-Nov,23-Nov,1
2,F,Tuxedo,22-Nov,23-Nov,1
2,F,Brown/tan,22-Nov,23-Nov,1
2,F,Gray,19-Nov,20-Nov,1
2,F,Gray,19-Nov,22-Nov,3
2,M,Gray,19-Nov,20-Nov,1
2,M,Black,15-Nov,15-Nov,0
2,F,Black,14-Nov,15-Nov,1
1,M,Tuxedo,14-Nov,18-Nov,4
1,F,Tuxedo,14-Nov,18-Nov,4
1,M,Tuxedo,14-Nov,15-Nov,1
1,M,Tuxedo,14-Nov,15-Nov,1
1,M,Black,14-Nov,15-Nov,1
1,M,Black,14-Nov,15-Nov,1
36,M,Gray,8-Nov,8-Nov,0
3,F,Black,5-Nov,10-Nov,5
2,F,Gray,5-Nov,6-Nov,1
3,F,Tuxedo,5-Nov,7-Nov,2
2,F,Gray,5-Nov,8-Nov,3
2,F,Gray,5-Nov,8-Nov,3
2,F,Black,5-Nov,15-Nov,10
2,M,Gray,4-Nov,7-Nov,3
2,F,Gray,4-Nov,5-Nov,1
2,M,Gray/White,31-Oct,1-Nov,1
2,F,Gray/White,31-Oct,1-Nov,1
2,F,Gray,31-Oct,4-Nov,4
2,F,Gray,31-Oct,1-Nov,1
2,F,Black,31-Oct,5-Nov,5
2,M,Black,31-Oct,8-Nov,8
2,M,Black,31-Oct,9-Nov,9
2,M,Black,31-Oct,5-Nov,5
2,F,Tuxedo,31-Oct,6-Nov,6
2,M,Multicolored,30-Oct,31-Oct,1
2,M,Orange,28-Oct,28-Oct,0
2,M,Orange,28-Oct,28-Oct,0
36,M,Multicolored,25-Oct,26-Oct,1
120,F,White,25-Oct,9-Nov,15
24,F,Black,22-Oct,25-Oct,3
12,F,Multicolored,22-Oct,26-Oct,4
2,M,Black,22-Oct,24-Oct,2
2,M,Gray,21-Oct,23-Oct,2
2,F,Black,16-Oct,21-Oct,5
2,M,White,16-Oct,21-Oct,5
2,F,Multicolored,16-Oct,21-Oct,5
36,M,Multicolored,16-Oct,21-Oct,5
6,F,Multicolored,12-Oct,21-Oct,9
2,F,Brown/tan,8-Oct,22-Oct,14
2,M,Black,8-Oct,21-Oct,13
2,M,Orange,8-Oct,22-Oct,14
2,F,Black,8-Oct,11-Oct,3
2,F,Gray,8-Oct,11-Oct,3
2,F,Gray,8-Oct,21-Oct,13
1,F,Black,8-Oct,11-Oct,3
120,F,Tuxedo,3-Oct,4-Nov,32
2,F,Black,1-Oct,21-Oct,20
48,F,Multicolored,21-Sep,25-Oct,34
3,F,Multicolored,24-Oct,24-Oct,0
1,F,Black,3-Oct,16-Oct,13
1,M,Gray,3-Oct,11-Oct,8
1,F,Tuxedo,3-Oct,11-Oct,8
1,F,Gray,3-Oct,16-Oct,13
1,F,Gray,3-Oct,11-Oct,8
2,F,Black,3-Oct,21-Oct,18
2,M,Multicolored,1-Oct,3-Oct,2
1,M,Multicolored,1-Oct,3-Oct,2
1,M,Tuxedo,1-Oct,3-Oct,2
1,M,Black,1-Oct,3-Oct,2
1,M,White,1-Oct,3-Oct,2
1,F,Multicolored,1-Oct,3-Oct,2
3,F,Multicolored,29-Sep,3-Oct,4
2,M,Tuxedo,29-Sep,1-Oct,2
2,F,Multicolored,27-Sep,30-Sep,3
2,F,Black,27-Sep,28-Sep,1
2,M,Multicolored,27-Sep,30-Sep,3
2,F,Multicolored,27-Sep,28-Sep,1
2,F,Multicolored,27-Sep,30-Sep,3
2,F,Multicolored,27-Sep,30-Sep,3
3,F,Orange,27-Sep,27-Sep,0
3,M,Orange,27-Sep,27-Sep,0
3,M,White,27-Sep,27-Sep,0
36,M,Tuxedo,23-Sep,5-Oct,12
3,M,Multicolored,20-Sep,21-Sep,1
3,F,Multicolored,20-Sep,21-Sep,1
3,F,Multicolored,20-Sep,21-Sep,1
108,F,Multicolored,17-Sep,23-Sep,6
84,F,Black,12-Sep,11-Oct,29
2,M,Multicolored,11-Sep,12-Sep,1
2,M,White,11-Sep,17-Sep,6
168,F,Multicolored,9-Sep,25-Sep,16
96,F,Multicolored,6-Sep,10-Sep,4
3,M,Multicolored,5-Sep,9-Sep,4
2,M,White,4-Sep,8-Sep,4
3,M,Black,4-Sep,6-Sep,2
3,M,Multicolored,4-Sep,4-Sep,0
2,M,White,4-Sep,9-Sep,5
12,F,Multicolored,30-Aug,4-Sep,5
144,F,Multicolored,30-Aug,9-Sep,10
3,M,Tuxedo,30-Aug,3-Sep,4
3,M,White,30-Aug,31-Aug,1
3,F,Tuxedo,30-Aug,3-Sep,4
3,M,Multicolored,30-Aug,1-Sep,2
36,M,Multicolored,29-Aug,30-Aug,1
36,F,Multicolored,29-Aug,30-Aug,1
4,M,Tuxedo,28-Aug,6-Sep,9
3,M,Multicolored,27-Aug,3-Sep,7
2,M,Orange,25-Aug,27-Aug,2
2,F,Black,25-Aug,26-Aug,1
2,F,Multicolored,25-Aug,27-Aug,2
2,F,Black,25-Aug,26-Aug,1
36,M,Multicolored,24-Aug,29-Aug,5
3,F,Multicolored,23-Aug,27-Aug,4
3,F,Black,22-Aug,29-Aug,7
4,M,Tuxedo,21-Aug,27-Aug,6
4,F,White,21-Aug,27-Aug,6
4,F,Tuxedo,21-Aug,27-Aug,6
4,F,Tuxedo,21-Aug,27-Aug,6
4,M,Orange,20-Aug,21-Aug,1
3,M,Black,16-Aug,26-Aug,10
96,M,Tuxedo,15-Aug,26-Aug,11
1,M,Tuxedo,15-Aug,15-Aug,0
4,M,Orange,12-Aug,19-Aug,7
4,F,Orange,12-Aug,17-Aug,5
2,M,Black,12-Aug,15-Aug,3
96,M,Orange,8-Aug,10-Aug,2
72,M,Black,8-Aug,10-Aug,2
24,F,Multicolored,6-Aug,12-Sep,37
96,M,Orange,6-Aug,19-Aug,13
3,F,Multicolored,5-Aug,19-Aug,14
12,M,Orange,5-Aug,7-Aug,2
2,M,Multicolored,31-Jul,5-Aug,5
2,F,Tuxedo,31-Jul,7-Aug,7
2,M,Black,30-Jul,6-Aug,7
2,M,Black,30-Jul,6-Aug,7
2,M,Multicolored,30-Jul,1-Aug,2
2,M,Multicolored,30-Jul,2-Aug,3
48,M,Tuxedo,29-Jul,30-Jul,1
192,F,Multicolored,29-Jul,26-Aug,28
192,M,Multicolored,29-Jul,3-Aug,5
3,M,Tuxedo,29-Jul,30-Jul,1
3,M,Multicolored,29-Jul,30-Jul,1
3,M,Multicolored,29-Jul,8-Aug,10
3,M,Multicolored,29-Jul,15-Aug,17
3,F,Multicolored,29-Jul,10-Aug,12
3,F,Multicolored,29-Jul,10-Aug,12
36,F,Gray,29-Jul,15-Aug,17
2,M,Orange,29-Jul,1-Aug,3
2,F,Black,29-Jul,7-Aug,9
2,F,Black,29-Jul,5-Aug,7
2,M,Orange,29-Jul,29-Jul,0
2,F,Orange,29-Jul,29-Jul,0
